Company,"Parent company

(if known)",Allegation that a company has failed to provide plasma,Allegation that a community is receiving inadequate payments from plasma,Protests,Government interventions,Province,District (kabupaten),Sub-district (kecamatan),"Sub-district (kecamatan) 2

(if more than one listed)","Village 

(if known)",Date of most recent report,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7
Inti Sawit Perkasa,Wings Corp,Yes,Yes,,,North Kalimantan,Bulungan,,,,25/11/2021,https://cokoliat.com/warga-18-desa-di-bulungan-demo-tuntut-csr-dan-sistem-kelola-plasma/,https://kaltara.tribunnews.com/2021/11/24/amankan-demo-plasma-sawit-di-mara-satu-polres-bulungan-kerahkan-ratusan-personel-dibantu-brimob,https://kaltara.tribunnews.com/2021/11/24/konflik-plasma-sawit-pemkab-dan-polres-bulungan-bertemu-18-perwakilan-warga-desa-dari-4-kecamatan,https://www.cao-ombudsman.org/cases/indonesia-wings-01long-beluah,https://www.cao-ombudsman.org/sites/default/files/downloads/CAOAssessmentReport_Wings-01_Indonesia_November2019.pdf,https://kaltara.prokal.co/read/news/39663-realisasi-plasma-dinilai-belum-maksimal,
Ivo Mas Tunggal,Golden Agri-Resources,Yes,,Yes,,Riau,Siak ,Kandis,,,24/03/2017,https://m.riausatu.com/read-25850-2018-02-19-pt-ivo-mas-pt-rgm-dan-pt-cpi-didemo-suku-sakai.html,https://www.cakaplah.com/berita/baca/2017/03/24/mediasi-warga-sakai-dan-pt-ivo-mas-tunggal-berakhir-tanpa-kesepakatan#sthash.S6zUtooG.7UIp1Sey.dpbs,https://segmennews.com/2018/03/31/soal-konflik-lahan-pt-ivo-mas-tunggal-vs-suku-sakai-belum-temui-titik-terang/,,,,
Jabontara Eka Karsa,Kuala Lumpur Kepong Berhad,Yes,,Yes,,East Kalimantan,Berau,Batu Putih,,Batu Putih,25/10/2018,https://berau.prokal.co/read/news/40760-warga-batu-putih-blokirjalan-perkebunan-sawit,http://repository.unair.ac.id/75100/,https://beritakaltim.co/dprd-berau-harapkan-kebijaksanaan-perusahaan/,,,,
Austindo Nusantara Jaya Agri,Austindo Nusantara Jaya,Yes,,Yes,,West Kalimantan,North Kayong,Simpang Hilir,,Sei Mata Mata,13/11/2021,https://portaldesa.co/masyarakat-desak-kepala-desa-usut-tuntas-pengelolaan-hasil-plasma-kebun-kelapa-sawit-desa-sei-mata-mata/,https://humas.polri.go.id/2021/11/13/kapolsek-simpang-hilir-tinjau-lokasi-plasma-masyarakat-desa-sungai-mata-mata/,https://www.suaramabes.com/diduga-salahgunakan-wewenang-dan-penyelewengan-dana-plasma-warga-mata-mata-lapor-polisi/,,,,
Jaya Mandiri Sukses,Eagle High Plantations,,Yes,Yes,,South Kalimantan,Kotabaru,Kelumpang Hulu,,"Cantung Kiri Hilir, Lasung",04/01/2015,https://www.infosawit.com/news/477/pt-jms-didesak-serahkan-plasma-kepada-masyarakat-langsung-,https://sawitwatch.or.id/2015/03/07/pengambilalihan-kembali-tanah-adat-yang-telah-digarap-oleh-pt-jaya-mandiri-sukses-jms/,https://rspo.org/file/acop2015/submissions/pt.%20eagle%20high%20plantations%20tbk-ACOP2015.pdf,https://aman.or.id/news/read/siaran-pers-masyarakat-adat-akan-ambil-alih-kembali-tanah-adat-dari-pt-jms,,,
Kartika Prima Cipta,Golden Agri-Resources,Yes,,Yes,,West Kalimantan,Kapuas Hulu,,,,17/02/2017,https://www.forestpeoples.org/sites/default/files/news/2015/04/FPP%20Presentation%20to%20KPC%205th%20March%202015.pdf,https://drive.google.com/open?id=18J28oFswmSGMt-s8-KMo2x1ByLNWNU3t,https://askrspo.force.com/Complaint/s/case/50090000028Erz5AAC/detail,https://ap8.salesforce.com/sfc/p/#90000000YoJi/a/90000000PXfy/qH9esajVACCJLTjAFC.aZyeKyOUPyg7enYqbfErbfv0,,,
Karunia Kencana Permaisejati,Wilmar,Yes,,Yes,,Central Kalimantan,East Kotawaringin,,,,19/07/2016,https://askrspo.force.com/Complaint/s/case/50090000029w2raAAA/detail,https://www.mongabay.co.id/2014/05/31/kala-deutche-bank-lepas-saham-dari-perusahaan-pemasok-wilmar/,https://mutucertification.com/wp-content/uploads/2021/04/RSPO-ASA-3-Summary-Report-of-KKP-POM-PT-Karunia-Kencana-Permaisejati-subsidiary-of-Wilmar-International-Ltd.pdf,,,,
Austindo Nusantara Jaya Agri Siais,Austindo Nusantara Jaya,Yes,,Yes,,Lampung,West Pesisir,Teluk Betung Utara,,,19/02/2020,http://www.berdikarionline.com/pemkab-lambar-janjikan-surat-kepemilikan-lahan-kepada-petani-plasma/,https://www.berdikarionline.com/petani-plasma-lampung-barat-datangi-kantor-pt-kcmu/,https://www.ejatlas.org/print/pt-karya-canggih-mandiri-utama-kcmu-conflict-sumatra,https://nasional.tempo.co/read/299083/petani-sawit-minta-pemerintah-usir-dua-perusahaan-sawit/full&view=ok,https://pesisirbaratkab.go.id/berita/mediasi-petani-kelapa-sawit-plasma-dengan-pt-karya-canggih-mandiri-utama-pt-kcmu,,
Karya Kencana Sentosa Tiga,Anglo Eastern,,Yes,Yes,,South Sumatra,Empat Lawang,,,,20/11/2021,https://86news.co/2021/11/20/masyarakat-air-deras-pertanyakan-hak-mereka-yang-dijanjikan-pt-elap-kkst/,https://palembang.tribunnews.com/2011/09/29/budi-akui-permintaan-25-persen-lahan-untuk-masyarakat,,,,,
Karya Makmur Abadi,Kuala Lumpur Kepong Berhad,Yes,,Yes,,Central Kalimantan,East Kotawaringin,Mentaya Hulu,,"Pahirangan, Tangkarobah",04/05/2021,https://kaltengpos.co/berita/-56211--m-abadi:--mendesak-pt-kma-serahkan-lahan-ke-kud.html,https://www.borneonews.co.id/berita/210931-ketua-koperasi-dilaporkan-dan-jadi-tersangka-warga-ancam-tutup-aktivitas-pt-kma,https://kaltengekspres.com/2021/05/diskop-kotim-diminta-turut-bertanggungjawab/,https://kalteng.indeksnews.com/2021/02/09/pt-karya-makmur-abadi-diduga-ti/,https://www.inikalteng.com/pt-kma-didesak-realisasikan-plasma-desa-pahirangan/,,
Karya Tanah Subur,Astra Agro Lestari,Yes,,Yes,,Aceh,West Aceh,Bubon,,Cot Keumuneng,28/09/2016,https://daulatrakyat.id/2018/09/18/konflik-agraria-pt-letawa-warga-lariang-seperti-tak-berujung/,http://uilis.unsyiah.ac.id/uilis/index.php?p=show_detail&id=67356,,,,,
Kasih Agro Mandiri,Auto Diesel Radiator (ADR Group),Yes,,Yes,,South Sumatra,Banyuasin,Banyuasin III,Tanjung Lago,"Langkan,
Terlangu",06/03/2019,https://www.youtube.com/watch?v=NbRfS4nZE1Q,https://daerah.sindonews.com/berita/925697/151/warga-vs-perusahaan-sawit-kapan-berhenti,https://www.youtube.com/watch?v=NbRfS4nZE1Q,,,,
Kaswari Unggul ,Bakrie Sumatera Plantations,Yes,,Yes,,Jambi,East Tanjung Jabung,Geragai,,"Rantau Karya, Suka Maju, Pandan Lagan",04/07/2018,https://investigasi.today/pt-kaswari-unggul-diduga-manipulasi-data-kelompok-tani-rantau-karya/,https://investigasi.today/kelompok-tani-blokir-jalan-pt-kaswari-unggul-tidak-memberikan-kepastian/,https://metrojambi.com/read/2020/05/08/32399/tak-kunjung-realisasikan-janji-jalan-ke-pt-kaswari-unggul-diblokir-warga,http://enewstime.co/read/2018/07/04/1382/petani-ancam-kapling-lahan-plasma-kaswari-unggul,,,
Kebun Ganda Prima,Indofood Agri Resources,Yes,,,Yes,West Kalimantan,Sanggau,Kembayan,,"Desa Kedakas, Desa Riyai, Desa Mandong, Desa   Berakak, Desa Pandan Sembuat, Desa Engkasan, Desa Sebuduh",23/11/2017,https://pontianak.tribunnews.com/2017/11/23/kud-semegah-pertegas-kerjasama-pembangunan-kebun-plasma-dengan-pt-kgp?page=2,https://pontianak.tribunnews.com/2018/03/09/terkaitputusan-hakim-pada-perkara-perdata-pt-kgp-dengan-petaniini-kata-ketua-kud-semegah,https://www.suarasanggau.co.id/2017/09/petani-plasma-pt-kgp-tuntut.html,https://pontianak.tribunnews.com/2017/08/06/pt-kgp-angkat-bicara-terkait-polemik-di-pn-sanggau,,,
Kelantan Sakti,Kelantan Sakti,Yes,,Yes,,South Sumatra,Ogan Komering Ilir,Pedamaran,,"Pedamaran, Srinanti, Sukadamai",23/10/2020,https://www.detiksumsel.com/massa-tuntut-plasma-dan-ganti-rugi-tanam-tumbuh-di-pt-klantan-sakti/,http://beritamusi.co.id/2018/12/27/ratusan-masyarakat-tuntut-plasma-dan-ganti-rugi-tanam-tumbuh-di-pt-kelantan-sakti/,https://agroharian.com/warga-pedamaran-tuntut-janji-kelompok-tani-belum-dapatkan-plasma/,https://www.mediasriwijaya.com/perusahaan-siapkan-kebun-plasma-sawit,https://www.detiksumsel.com/massa-tuntut-plasma-dan-ganti-rugi-tanam-tumbuh-di-pt-klantan-sakti/,https://www.swarnanews.co.id/2018/12/27/tuntut-plasma-warga-pedamaran-geruduk-pt-ks/,https://web.archive.org/web/20210525123506/https://kabarrakyat.website/ratusan-warga-teloko-tuntut-lahan-plasma-pt-kelantan-sakti/
Kencana Amal Tani (KAT),Darmex Agro,Yes,,,,Riau,Indragiri Hulu ,Seberida,,Pangkalan Kasai,09/10/2020,https://www.patrolicyber.com/2020/09/10/terkait-perkara-plasma-perkebunan-sawit-majelis-hakim-diminta-gunakan-nurani/,https://sindikatpost.com/2020/07/23/plasma-lahan-sawit-mediasi-berujung-deadlock/,https://www.matakalteng.com/legislatif/dprd-kotawaringin-timur/2020/10/06/sengketa-lahan-bisa-diminimalisir-oleh-pemerintah,https://bintangempat.com/2020/06/rakyat-indragirihulu-gugat-hak-plasma-sawit-di-pn-rengat/,https://www.patrolicyber.com/2020/06/26/sidang-plasma-sawit-4-desa-di-inhu-bergulir-di-pn-rengat/,,
Kencana Graha Permai,Golden Agri-Resources,Yes,,,,West Kalimantan,Ketapang,Jelai Hulu,Marau,"Randai, Belaban, Rangkung",04/05/2015,https://www.mongabay.co.id/2014/11/27/kotak-pandora-di-konsesi-sinar-mas-grup-kalbar/,https://milieudefensie.nl/actueel/failing-governance-avoiding-responsibilities,https://rspo.my.salesforce.com/sfc/p/#90000000YoJi/a/0o000000U1zi/xqgYNZaqdKsHfcssRnYUo87KQJicMLoy8ymJayP.bvE,,,,
Kencana Sawit Indonesia,Wilmar,Yes,,,,West Sumatra,South Solok,Sangir Jujuan,,,11/01/2019,https://drive.google.com/file/d/1pPGi_AqLuL-EdadWaq1r6rDWQk_n3X4l/view?usp=sharing,,,,,,
Bakrie Pasaman Plantation,Bakrie Sumatera Plantations,Yes,,,,South Kalimantan,Tapin,Tapin Tengah,,,13/07/2020,https://koranbanjar.net/masyarakat-tapin-laporkan-pt-kiu-terkait-bagi-hasil-plasma-sawit/,https://apahabar.com/2020/07/kisruh-plasma-sawit-tak-dibayar-dprd-tapin-panggil-pt-kiu/,,,,,
Bangun Nusa Indah Lampung,Tunas Baru Lampung Tbk,,,,Yes,Riau,Siak ,Koto Gasib,,,19/10/2018,https://riaupos.jawapos.com/riau/14/11/2013/37601/aksi-warga-tiga-desa-berlanjut-di-dermaga.html,http://repository.umy.ac.id/bitstream/handle/123456789/21272/11.%20NASKAH%20PUBLIKASI.pdf?sequence=10&isAllowed=y,http://www.riaubook.com/berita/47029/blog-post.html,http://www.halloriau.com/read-otonomi-10855-2011-05-22-pt-aal-membangun-sawit-membangun-negeri.html,https://web.archive.org/web/20170627092837/https://www.halloriau.com/read-otonomi-10855-2011-05-22-pt-aal-membangun-sawit-membangun-negeri.html,https://www.goriau.com/berita/baca/gelapkan-uang-anggota-ketua-koperasi-rimba-mutiara-siak-diperiksa-polisi.html,
Bangun Nusa Mandiri,Golden Agri-Resources,,Yes,Yes,Yes,Central Sulawesi,North Morowali,Lembo Raya,,"Mandulo, Po'ona",01/02/2019,https://trilogi.co.id/petani-morowali-utara-tuntut-ksg-kembalikan-lahan/,https://sulteng.antaranews.com/berita/34827/memperjuangkan-nasib-petani-morowali-utara,,,,,
Berau Karetindo Lestari,Korompis Family,,Yes,Yes,,Jambi,Sarolangun,,,,05/01/2019,http://pergerakan.org/pernyataan-apkasindo-memperluas-konflik-di-desa-karangmendapo/,https://www.smart-tbk.com/en/berkelanjutan/investasi-di-komunitas/perjanjian-komunitas/konflik-sosial/,https://goldenagri.com.sg/wp-content/uploads/2019/05/GAR-REPORT-ON-SOMO-CASES.pdf?v1,https://www.forestpeoples.org/sites/default/files/documents/210615_Demanding%20Accountability%20v9_0.pdf,https://www.gatra.com/news-535353-Hukum-pt-kda-dituding-tak-lunasi-pembayaran-ganti-rugi-lahan-warga.html,,
Kurnia Luwuk Sejati,Golden Agri-Resources,Yes,Yes,,,Central Sulawesi,Banggai,Batui Selatan,,Sinorang,17/07/2020,https://www.obormotindok.co.id/pt-kurnia-akui-tak-ada-plasma-di-km-5-komisi-i-dprd-banggai-kunker-tinjau-kasus-plasma-sawit/,https://web.archive.org/web/20200811160328/https://sulawesion.com/sulteng/cerita-pasutri-di-banggai-bertahan-hidup-dalam-cengkeraman-perusahaan-sawit/,https://sulawesion.com/sulteng/cerita-pasutri-di-banggai-bertahan-hidup-dalam-cengkeraman-perusahaan-sawit/,,,,
Kutai Balian Nauli,Kurnia Luwuk Sejati,Yes,Yes,Yes,,East Kalimantan,East Kutai,Bengalon,,,29/03/2019,http://web.archive.org/web/20220928052539/https://kabaretam.com/2019/03/29/banyak-perusahan-sawit-belum-punya-plasma/,,,,,,
Laras Internusa,Chellam Plantations,Yes,,Yes,,West Sumatra,West Pasaman,Nagari Kinali,,,08/06/2021,https://www.harianhaluan.com/news/detail/130875/tuntut-hak-plasma-masyarakat-kinali-pasaman-barat-gelar-aksi-di-pt-lin,https://kumparan.com/langkanid/warga-pasbar-demo-pt-laras-inter-nusa-soal-hak-perkebunan-plasma-1vu1u0xaQgO,https://skalainfo.net/2021/05/26/sengketa-tanah-di-kinali-pasaman-barat-direktur-pt-laras-inter-nusa-lin-bantah-tidak-bangunkan-kebun-plasma/,https://www.fajarsumbar.com/2021/06/tuntut-hak-plasma-sawit-20-persen.html,https://minangkabaunews.com/dprd-provinsi-sumbar-tanggapi-serius-sangketa-lahan-plasma-pt-lin-dengan-masyarakat-kinali-pasbar/,https://sumbar.antaranews.com/berita/56121/masyarakat-mandiangin-pasaman-barat-tolak-pembangunan-plasma,https://drive.google.com/open?id=18J28oFswmSGMt-s8-KMo2x1ByLNWNU3t
Berjaya Agro Kalimantan,Mitra Agung Sawita Sejati,Yes,,Yes,,South Sumatra,Penukal Abab Lematang Ilir,Penukal Utara,,,10/11/2021,http://haluansumatera.com/protes-bagi-hasil-plasma-warga-6-desa-blokir-jalan-pt-lkk/,http://www.kabarakyatsumsel.id/2016/10/ratusan-warga-tutup-akses-jalan-pt-lkk.html,https://www.sininews.com/2021/11/mppdt-minta-pemkab-pali-evaluasi-usulan.html,,,,
Bersama Sejahtera Sakti,Sime Darby,Yes,,Yes,,West Kalimantan,Bengkayang,Jagoi Babang,,"Semunying
Jaya",09/01/2019,https://www.komnasham.go.id/files/20160528-konflik-agraria-masyarak-adat-$E705F0M.pdf,https://amp.kompas.com/lifestyle/read/2011/11/22/0253158/1.420.hektar.hutan.adat.diserobot,https://www.hrw.org/report/2019/09/23/when-we-lost-forest-we-lost-everything/oil-palm-plantations-and-rights-violations,https://www.kompasiana.com/www.yopicahyono.com/552a5167f17e610d78d6241a/pt-ledo-lestari-garap-60-hektar-tanah-malaysia,,,
Lestari Tani Teladan,Darmex Agro,,Yes,Yes,,Central Sulawesi,Donggala,Rio Pakava,,,21/03/2018,https://www.mongabay.co.id/2018/01/23/sederet-konflik-lahan-perusahaan-sawit-astra-di-sulteng/,https://www.mongabay.co.id/2018/03/21/tata-batas-wilayah-kacau-petani-rio-pakava-makin-terhalau-bagian-2/,https://www.ijbmi.org/papers/Vol(5)8/version-2/N058294101.pdf,http://foe.org/wp-content/uploads/2022/02/WALHIInvestigation-Fact-Sheet.PT_.LTT_.pdf,http://foe.org/wp-content/uploads/2022/02/WALHI.Agrarian-Conflict-Palm-Oil-Astra-Agro-Lestari-Central-Sulawesi.pdf,,
London Sumatra,Astra Agro Lestari,,Yes,Yes,,South Sumatra,Musi Rawas,Rawas Ilir,,"Beringin Makmur I, Mandiangin",05/06/2021,https://www.smart-tbk.com/en/berkelanjutan/investasi-di-komunitas/perjanjian-komunitas/konflik-sosial/,https://palembang.tribunnews.com/2012/10/18/ratusan-massa-blokir-jalan-menuju-pt-lonsum,https://sumsel.tribunnews.com/2021/07/05/masyarakat-rawas-ilir-tuntut-lahan-plasma-untuk-926-kk-perusahaan-cuma-siapkan-332-hektare,,,,
London Sumatra,Indofood Agri Resources,Yes,,Yes,,South Sumatra,North Musi Rawas,Nibung,,Tebing Tinggi,22/05/2016,http://sumseltoday.com/lahan-ganti-rugi-jauh-pemukiman-warga-rupit-muratara-protes/,http://kpa.or.id/media/baca/peristiwa/123/Peminggiran_Masyarakat_Adat_yang_Tak_Kunjung_Berakhir_di_Musi_Rawas/,https://www.muratarakab.go.id/berita/bupati-muratara-beri-solusi-permasalahan-sad-dituntaskan/,,,,
London Sumatra,Indofood Agri Resources,Yes,,Yes,,South Sumatra,Musi Rawas,Muara Lakitan,,Muara Rengas,05/01/2017,https://sumselupdate.com/masalah-plasma-konflik-masyarakat-muara-rengas-dengan-perusahaan-lonsum-memanas/,https://sumsel.tribunnews.com/2017/01/05/tak-ada-titik-temu-sengketa-lahan-antara-pt-lonsum-dan-warga-diselesaikan-lewat-meja-hijau?page=2,https://sumsel.tribunnews.com/2017/01/05/tak-ada-titik-temu-sengketa-lahan-antara-pt-lonsum-dan-warga-diselesaikan-lewat-meja-hijau,https://ejournal.unib.ac.id/index.php/jgoap/article/view/12772,https://d3n8a8pro7vhmx.cloudfront.net/rainforestactionnetwork/pages/14786/attachments/original/1442856231/Full_Report_Palm_Oil_Sustainability_Assessment_of_Indofood_Agri_Resources.pdf?1442856231,https://sumselupdate.com/masalah-plasma-konflik-masyarakat-muara-rengas-dengan-perusahaan-lonsum-memanas/,https://sumsel.tribunnews.com/2017/01/05/tak-ada-titik-temu-sengketa-lahan-antara-pt-lonsum-dan-warga-diselesaikan-lewat-meja-hijau?page=2
London Sumatra,Indofood Agri Resources,Yes,,Yes,,South Sumatra,Musi Rawas,Megang Sakti,,Muara Megang,20/11/2019,http://kpa.or.id/media/baca/peristiwa/206/Tuntut_Kebun_Plasma__Warga_Muara_Megang_Duduki_Lahan_PT._Lonsum/,https://kumparan.com/hengky-chandra/bupati-muratara-beri-solusi-permasalahan-sad-nibung-dituntaskan-1518488569450,https://www.liputan6.com/news/read/3543762/dpr-minta-pt-lonsum-bermanfaat-bagi-masyarakat-muara-megang,https://republika.co.id/berita/p9jaap370/komisi-iv-jembatani-konflik-pt-lonsum-dengan-masyarakat,,,
London Sumatra,Indofood Agri Resources,Yes,,Yes,,South Sumatra,North Musi Rawas,Karang Dapo,,Bina Karya,17/11/2020,https://sumeks.co/tuntut-paket-plasma-puluhan-warga-kuasai-lahan-pt-lonsum/?page28332434234=218,https://www.senayanpost.com/konflik-lahan-sawit-warga-dan-perusahaan-perkebunan-memanas-di-sumsel/,"
https://www.mongabay.co.id/2020/08/11/kala-warga-desa-bina-karya-tuntut-plasma-480-hektar/",https://www.youtube.com/watch?v=aXC8NGPM24Q,https://sumsel.tribunnews.com/2022/02/14/masalah-plasma-masyarakat-desa-bina-karya-dengan-pt-lonsum-di-muratara-tak-selesai-selesai,http://www.tuntas.co.id/2021/09/bupati-tengahi-masyarakat-dan-lonsum.html,
Bersama Sejahtera Sakti (Pantai Timur Estate),Sime Darby,Yes,,Yes,,Riau,Bengkalis,Rupat,,"Titi Akar, Darul Iman",14/11/2018,https://www.riauterkini.com/sosial.php?arr=132607&judul=Toko-Roti-,http://globalriau.com/bengkalis/Soal-Bagi-Hasil--Ketua-DPRD-Bengkalis-Akan-Panggil-PT-MMJ-dan-Warga-Rupat,http://riaupotenza.com/berita/20434/dibohongi-pt-mmj-kelompok-tani-di-rupat-ngadu-ke-dprd-bengkalis,,,,
Maskapai Perkebunan Leidong West Indonesia,Peputra Group related,Yes,,Yes,,Bangka Belitung,West Bangka,Kelapa,,"Terentang, Kacung",28/07/2018,https://babelreview.co.id/ratusan-warga-tuntut-dua-perusahaan-perkebunan-sawit,https://bangka.tribunnews.com/2018/07/28/dprd-babel-lakukan-mediasi-konflik-sawit-bpl-dan-masyarakat-akhirnya-menemui-titik-terang,,,,,
Meganusa Intisawit,Golden Agri-Resources,,Yes,Yes,,Riau,Indragiri Hulu ,Rakit Kulim,,Talang Suka Maju,15/12/2020,https://www.okeline.site/berita-16603-kud-tunas-harapan-tampung-sawit-non-plasma,https://wartapembaruan.com/mediasi-kasus-jual-beli-tbs-sortiran-ditunda-ternyata-ini-penyebabnya/,https://pelitariau.com/berita/detail/19217/ribuan-petani-ngaku-dizolimi-ketua-komisi-ii-dprd-inhu-pimpin-mediasi-16-kud-vs-pt-meganusa,https://www.riaueditor.com/detail/Ekbis/Ketua-KUD-Tunas-Harapan-diduga-Tampung-Sawit-Non-Plasma,https://www.riauin.com/read-26412-2021-08-15-diduga-pinjaman-tak-sesuai-prosedur-ojk-riau-diminta-periksa-bank-sinarmas-belilas-inhu.html,,
Mentari Subur Abadi,Golden Agri-Resources,Yes,,Yes,,South Sumatra,Banyuasin,Bayung Lencir,,Mangsang,05/04/2017,http://www.rmolsumsel.com/read/2017/03/14/68057/DPRD-Sumsel-Bakal-Panggil-Perangkat-Desa-dan-PT-MSA-,https://fornews.co/news/warga-desa-mangsang-pertanyakan-pembagian-plasma-dari-pt-mentari-subur-abadi/,https://www.mubaonline.com/berita/pemkab-muba-terima-kunjungan-kerja-komisi-i-dewan-perwakilan-rakyat-daerah-dprd-sum-sel,https://drive.google.com/open?id=1PcEeMBRVBPva8tEmHwyccvPD5vvR4jA7,https://www.youtube.com/watch?v=0_KkTwc9GMY,https://palembang.tribunnews.com/2017/01/30/masalah-plasma-tak-berkesudahan-sejak-2008warga-mangsang-datangi-dprd-sumsel,https://www.wilmar-international.com/docs/default-source/default-document-library/sustainability/resource/sustainability-brief-plasma-obligation-versus-conservation-objectives-how-do-we-strike-a-balance.pdf
Mentaya Sawit Mas,Indofood Agri Resources,,Yes,Yes,,Central Kalimantan,East Kotawaringin,Mentaya Hulu,,Tangar,08/03/2018,https://www.wilmar-international.com/sustainability/wp-content/uploads/2017/08/Sustainability-Brief-Plasma-Obligation-versus-Conservation-Objectives-How-do-we-strike-a-balance.pdf,https://drive.google.com/file/d/1_LX34dMXm8Hre5nZyBGlYi7HBwNL7Zs8/view,,,,,
Bintang Nusa Pertiwi,Unknown,Yes,,,,Riau,Bengkalis,Bengkalis,,Pedekik,19/10/2021,https://jebatnews.com/bengkalis/Berawal-dari-Manajemen-PT--MAS-yang-Amburadul--Peserta-Plasma-Sampaikan-Surat-Terbuka,https://www.visiindonesia.com/detailpost/300-petani-plasma-akan-demo-pt-meskom-agro-sarimas-dan-koperasi-meskom-sejati,https://riaupos.jawapos.com/bengkalis/28/11/2021/262952/mohon-bantulah-kami-pak-jokowi.html,https://riaupos.jawapos.com/bengkalis/22/05/2021/251015/koperasi-meskom-sejati-terbentuk-kelola-4000-hektare-lahan-sawit.html,https://rri.co.id/bengkalis/publik/1056154/dua-tahun-tanpa-rat-pengurus-koperasi-meskom-sejati-dibekukan-dan-telah-di-gelar-ralb,https://www.riau24.com/berita/baca/1621963897-kisruh-pengurus-koperasi-meskom-sejati-pt-meskom-agro-sarimas-hingga-keranah-hukum,https://lensariaunew.wordpress.com/2021/10/03/pt-meskom-memperkaya-perusahaan-di-atas-penderitaan-kariawan-dan-petani/; https://s3.eu-central-1.wasabisys.com/cache.raindrop.io/321/622/336/file?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=BE6X466RAMMR6TB09V4G%2F20230105%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230105T153515Z&X-Amz-Expires=1800&X-Amz-Signature=6d12bbba55a0e07d7291e8ef72f561a25097587dc9668bdc39c72ff0000e8700&X-Amz-SignedHeaders=host
Bintang Riau Sejahtera,Unknown,Yes,,Yes,,West Kalimantan,Bengkayang,Ledo,Subah,Serangkat,02/03/2020,https://mapofborneo.wordpress.com/2014/12/17/unjuk-rasa-petani-sawit-tuntut-pt-misp/,https://mapofborneo.wordpress.com/2021/03/05/permasalahan-warga-dengan-pt-misp-dilanjutkan-di-rumah-radakng/,https://www.forestpeoples.org/sites/default/files/documents/Transmigration%20Townships%20BAH%20v2.pdf,https://digilib.uns.ac.id/dokumen/download/75305/Mzk0ODEx/Penyelesaian-kredit-bermasalah-pada-peralihan-kepemilikan-kebun-plasma-di-PTMitra-Inti-Sejati-Plantation-kabupaten-Bengkayang-Kalimantan-Barat-bab_1.pdf,https://www.forestpeoples.org/sites/default/files/documents/210615_Demanding%20Accountability%20v10.pdf,,
Mitrakarya Agroindo,Unknown,,Yes,Yes,,Central Kalimantan,Seruyan,Seruyan Tengah,Hanau,,05/07/2020,https://www.rspo.org/file/4C(r)%20-%20Summary%20Report%20of%20SEIA%20and%20HCV%20Assessments%20PT%20Mitrakarya%20Agroindo.pdf,https://rspo.my.salesforce.com/sfc/p/#90000000YoJi/a/0o000000U1zi/xqgYNZaqdKsHfcssRnYUo87KQJicMLoy8ymJayP.bvE,,,,,
Mulia Inti Perkasa,Golden Agri-Resources,,Yes,,,East Kalimantan,Berau,Segah,,,15/04/2017,https://rightsandresources.org/wp-content/uploads/2017/05/Gender-Issues-in-Large-Scale-Land-Acquisition-Insights-from-Oil-Palm-in-Indonesia_April-2017_CIFOR.pdf,,,,,,
Multi Jaya Perkasa,Widya Corporation,Yes,,Yes,,West Kalimantan,Sekadau,Sekadau Hulu,,,29/01/2019,https://delikkalbar.com/2018/01/29/janji-manis-perusahaan-hanya-pepesan-kosong-belaka/,https://goldenagri.com.sg/wp-content/uploads/2019/05/GAR-REPORT-ON-SOMO-CASES.pdf?v1,https://www.suarasekadau.co.id/2018/01/jalan-tak-dirawat-petani-sawit-pt-mjp.html,https://www.suarakapuasraya.com/pt-mjp-bagikan-kacang-lupa-kulit/,https://indotimur.com/nusantara/pemkab-sekadau-bantah-pt-mjp-rugikan-petani,,
Multi Prima Entakai,Incasi Raya Group,Yes,,Yes,,West Kalimantan,Sekadau,Sekadau Hilir,,Desa Inggis dan  desa Seraras,29/10/2018,http://ruai.tv/2018/10/24/sawit-murah-petani-plasma-demo-pt-mpe-sekadau/,https://equator.co.id/puluhan-petani-pagar-jalan-perusahaan/,https://delikkalbar.com/2018/10/29/harga-buah-sawit-anjlok-ratusan-warga-geruduk-dprd-sekadau/,,,,
